"term","categories","category_count","wikipedia_en","wikipedia_he","selected_anchor_text","hebrew_term","chavrutai_search_url","wiki_match_source","variant_names"
"Abba the tall","names","1","","","","","https://chavrutai.com/search?q=Abba%20the%20tall","",""
"Abba Yosef ben Dostai","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosef%20ben%20Dostai","",""
"Abba Yosef ben Ḥanin","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosef%20ben%20%E1%B8%A4anin","",""
"Abba Yosei","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosei","",""
"Abba Yosei bar Abba","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20bar%20Abba","",""
"Abba Yosei ben Dosai","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Dosai","",""
"Abba Yosei ben Dostai","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Dostai","",""
"Abba Yosei ben Ḥanan","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20%E1%B8%A4anan","",""
"Abba Yosei ben Katonta","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Katonta","",""
"Abba Yosei ben Simai","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Simai","",""
"Abba Yosei ben Yoḥanan","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Yo%E1%B8%A5anan","",""
"Abba Yudan of Sidon","names","1","","","","","https://chavrutai.com/search?q=Abba%20Yudan%20of%20Sidon","",""
"Abba, father of Rabbi Yirmeya bar Abba","names","1","","","","","https://chavrutai.com/search?q=Abba%2C%20father%20of%20Rabbi%20Yirmeya%20bar%20Abba","",""
"Abba, son of Rabbi Binyamin bar Ḥiyya","names","1","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rabbi%20Binyamin%20bar%20%E1%B8%A4iyya","",""
"Abba, son of Rabbi Ḥiyya bar Abba","names","1","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rabbi%20%E1%B8%A4iyya%20bar%20Abba","",""
"Abba, son of Rav Binyamin bar Ḥiyya","names","1","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rav%20Binyamin%20bar%20%E1%B8%A4iyya","",""
"Abba, son of Rav Minyamin bar Ḥiyya","names","1","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rav%20Minyamin%20bar%20%E1%B8%A4iyya","",""
"Abba, son of Rav Minyumi, son of Ḥiyya","names","1","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rav%20Minyumi%2C%20son%20of%20%E1%B8%A4iyya","",""
"Abba, the father of Rabbi Simlai","names","1","","","","","https://chavrutai.com/search?q=Abba%2C%20the%20father%20of%20Rabbi%20Simlai","",""
"Abbudina","names","1","","","","","https://chavrutai.com/search?q=Abbudina","",""
"Abdon","names","1","","","","","https://chavrutai.com/search?q=Abdon","",""
"Abei Givar","talmudToponyms","1","","","","","https://chavrutai.com/search?q=Abei%20Givar","",""
"Abel","biblicalNames","1","https://en.wikipedia.org/wiki/Abel","https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%9C","","הבל","https://chavrutai.com/search?q=Abel","biblical_names_api_review:verified_exact_or_redirect",""
"Abiathar","biblicalNames","1","https://en.wikipedia.org/wiki/Abiathar","","","","https://chavrutai.com/search?q=Abiathar","biblical_names_api_review:verified_exact_or_redirect",""
"Abigail","biblicalNames","1","https://en.wikipedia.org/wiki/Abigail","","Abigail","","https://chavrutai.com/search?q=Abigail","biblical_names_api_review:verified_exact_or_redirect",""
"Abijah, son of Jeroboam","biblicalNames","1","","","","","https://chavrutai.com/search?q=Abijah%2C%20son%20of%20Jeroboam","biblical_names_api_review:no_exact_page",""
"Abimelech","biblicalNames","1","https://en.wikipedia.org/wiki/Abimelech","","Abimelech","","https://chavrutai.com/search?q=Abimelech","biblical_names_api_review:verified_exact_or_redirect",""
"Abiram","biblicalNames","1","https://en.wikipedia.org/wiki/Abiram","","Abiram","","https://chavrutai.com/search?q=Abiram","biblical_names_api_review:verified_exact_or_redirect",""
"Abishag","biblicalNames","1","https://en.wikipedia.org/wiki/Abishag","","Abishag","","https://chavrutai.com/search?q=Abishag","biblical_names_api_review:verified_exact_or_redirect",""
"Abishai","biblicalNames","1","","","","","https://chavrutai.com/search?q=Abishai","biblical_names_api_review:disambiguation_only",""
"Abishai ben Zeruiah","biblicalNames","1","","","Abishai ben Zeruiah","","https://chavrutai.com/search?q=Abishai%20ben%20Zeruiah","biblical_names_api_review:no_exact_page",""
"Abishai, son of Zeruiah","biblicalNames","1","","","","","https://chavrutai.com/search?q=Abishai%2C%20son%20of%20Zeruiah","biblical_names_api_review:no_exact_page",""
"Ablat","names","1","","","","","https://chavrutai.com/search?q=Ablat","",""
"Ablet","names","1","","","","","https://chavrutai.com/search?q=Ablet","",""
"Abner","biblicalNames","1","https://en.wikipedia.org/wiki/Abner","","Abner","","https://chavrutai.com/search?q=Abner","biblical_names_api_review:verified_exact_or_redirect",""
"Abner ben Ner","biblicalNames","1","","","","","https://chavrutai.com/search?q=Abner%20ben%20Ner","biblical_names_api_review:no_exact_page",""
"Abraham","biblicalNames","1","https://en.wikipedia.org/wiki/Abraham","","Abraham","","https://chavrutai.com/search?q=Abraham","biblical_names_api_review:verified_exact_or_redirect",""
"Abraham, Isaac, and Jacob","biblicalNames","1","","","","","https://chavrutai.com/search?q=Abraham%2C%20Isaac%2C%20and%20Jacob","biblical_names_api_review:no_exact_page",""
"Absalom","biblicalNames","1","https://en.wikipedia.org/wiki/Absalom","","Absalom","","https://chavrutai.com/search?q=Absalom","biblical_names_api_review:verified_exact_or_redirect",""
"Achan","biblicalNames","1","","","Achan","","https://chavrutai.com/search?q=Achan","biblical_names_api_review:disambiguation_only",""
"Achsah","biblicalNames","1","https://en.wikipedia.org/wiki/Achsah","","Achsah","","https://chavrutai.com/search?q=Achsah","biblical_names_api_review:verified_exact_or_redirect",""
"Adam","biblicalNames","1","https://en.wikipedia.org/wiki/Adam","","Adam","","https://chavrutai.com/search?q=Adam","biblical_names_api_review:verified_exact_or_redirect",""
"Adam and Eve","biblicalNames","1","https://en.wikipedia.org/wiki/Adam_and_Eve","","Adam's primordial sin","","https://chavrutai.com/search?q=Adam%20and%20Eve","biblical_names_api_review:verified_exact_or_redirect",""
"Adam the first","biblicalNames","1","","","","","https://chavrutai.com/search?q=Adam%20the%20first","biblical_names_api_review:no_exact_page","Adam, the first"
"Adam the first man","biblicalNames","1","","","","","https://chavrutai.com/search?q=Adam%20the%20first%20man","biblical_names_api_review:no_exact_page",""
"Adam, the first","biblicalNames","1","","","","","https://chavrutai.com/search?q=Adam%2C%20the%20first","biblical_names_api_review:no_exact_page","Adam the first"
"Adda","names","1","","","","","https://chavrutai.com/search?q=Adda","",""
"Adda bar Abba","names","1","","","","","https://chavrutai.com/search?q=Adda%20bar%20Abba","",""
"Adda bar Ahava","names","1","https://en.wikipedia.org/wiki/Adda_bar_Ahavah","","Adda bar Ahava","","https://chavrutai.com/search?q=Adda%20bar%20Ahava","blog",""
"Adda bar Avimi","names","1","","","","","https://chavrutai.com/search?q=Adda%20bar%20Avimi","",""
"Adda bar Ḥavu","names","1","","","","","https://chavrutai.com/search?q=Adda%20bar%20%E1%B8%A4avu","",""
"Adda bar Ukhmei","names","1","","","","","https://chavrutai.com/search?q=Adda%20bar%20Ukhmei","",""
"Adda Mari","names","1","","","","","https://chavrutai.com/search?q=Adda%20Mari","",""
"Adda the attendant","names","1","","","","","https://chavrutai.com/search?q=Adda%20the%20attendant","",""
"Adda the fisherman","names","1","","","","","https://chavrutai.com/search?q=Adda%20the%20fisherman","",""
"Adda, attendant","names","1","","","","","https://chavrutai.com/search?q=Adda%2C%20attendant","",""
"Adi the Arab","names","1","","","","","https://chavrutai.com/search?q=Adi%20the%20Arab","",""
"Adiabene","talmudToponyms","1","https://en.wikipedia.org/wiki/Adiabene","","Hadiab","","https://chavrutai.com/search?q=Adiabene","blog",""
"Adin","biblicalNames","1","https://en.wikipedia.org/wiki/Adin","","","","https://chavrutai.com/search?q=Adin","biblical_names_api_review:verified_exact_or_redirect",""
"Admon","names","1","","","","","https://chavrutai.com/search?q=Admon","",""
"Admon ben Gaddai","names","1","","","","","https://chavrutai.com/search?q=Admon%20ben%20Gaddai","",""
"Adonijah","biblicalNames","1","https://en.wikipedia.org/wiki/Adonijah","","Adonijah","","https://chavrutai.com/search?q=Adonijah","biblical_names_api_review:verified_exact_or_redirect",""
"Adrakan","names","1","","","","","https://chavrutai.com/search?q=Adrakan","",""
"Adrammelech","biblicalNames","1","https://en.wikipedia.org/wiki/Adrammelech","","","","https://chavrutai.com/search?q=Adrammelech","biblical_names_api_review:verified_exact_or_redirect",""
"Adriel","biblicalNames","1","https://en.wikipedia.org/wiki/Adriel","","","","https://chavrutai.com/search?q=Adriel","biblical_names_api_review:verified_exact_or_redirect",""
"Aforayim","talmudToponyms","1","","","","","https://chavrutai.com/search?q=Aforayim","",""
"Africa","biblicalNations;talmudToponyms","2","","","","","https://chavrutai.com/search?q=Africa","",""
"Afrikei","talmudToponyms","1","","","","","https://chavrutai.com/search?q=Afrikei","",""
"Afrikiya","talmudToponyms","1","","","","","https://chavrutai.com/search?q=Afrikiya","",""
"Agag","biblicalNames","1","https://en.wikipedia.org/wiki/Agag","","King Agag","","https://chavrutai.com/search?q=Agag","biblical_names_api_review:verified_exact_or_redirect",""
"Agardamis the Arab merchant","names","1","","","","","https://chavrutai.com/search?q=Agardamis%20the%20Arab%20merchant","",""
"Agma","talmudToponyms","1","","","","","https://chavrutai.com/search?q=Agma","",""
"Agra","names","1","","","","","https://chavrutai.com/search?q=Agra","",""
"Agra, the father-in-law of Rabbi Abba","names","1","","","","","https://chavrutai.com/search?q=Agra%2C%20the%20father-in-law%20of%20Rabbi%20Abba","",""
"Agrat, daughter of Maḥalat","names","1","https://en.wikipedia.org/wiki/Agrat_bat_Mahlat","","Agrat daughter of Maḥalat","","https://chavrutai.com/search?q=Agrat%2C%20daughter%20of%20Ma%E1%B8%A5alat","blog",""
"Agrippas general","names","1","","","","","https://chavrutai.com/search?q=Agrippas%20general","",""
"Agrippas the general","names","1","","","","","https://chavrutai.com/search?q=Agrippas%20the%20general","",""
"Aḥa bar Hidya","names","1","","","","","https://chavrutai.com/search?q=A%E1%B8%A5a%20bar%20Hidya","",""
"Aḥa, brother of Abba, father of Rabbi Yirmeya bar Abba","names","1","","","","","https://chavrutai.com/search?q=A%E1%B8%A5a%2C%20brother%20of%20Abba%2C%20father%20of%20Rabbi%20Yirmeya%20bar%20Abba","",""
"Aha, the governor of the castle","names","1","","","","","https://chavrutai.com/search?q=Aha%2C%20the%20governor%20of%20the%20castle","",""
"Ahab","biblicalNames","1","https://en.wikipedia.org/wiki/Ahab","https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%90%D7%91","Ahab","אחאב","https://chavrutai.com/search?q=Ahab","biblical_names_api_review:verified_exact_or_redirect",""
"Ahab ben Omri","biblicalNames","1","","","","","https://chavrutai.com/search?q=Ahab%20ben%20Omri","biblical_names_api_review:no_exact_page",""
"Ahab, son of Omri","biblicalNames","1","","","","","https://chavrutai.com/search?q=Ahab%2C%20son%20of%20Omri","biblical_names_api_review:no_exact_page",""
"Aḥai bar Yoshiya","names","1","","","","","https://chavrutai.com/search?q=A%E1%B8%A5ai%20bar%20Yoshiya","",""
"Aḥai the Distinguished","names","1","","","","","https://chavrutai.com/search?q=A%E1%B8%A5ai%20the%20Distinguished","",""
"Ahasuerus","biblicalNames","1","https://en.wikipedia.org/wiki/Ahasuerus","","Ahasuerus","","https://chavrutai.com/search?q=Ahasuerus","biblical_names_api_review:verified_exact_or_redirect",""
