wikidata_id,wikipedia_en_name_from_pdf,wikipedia_he_name_from_pdf,pdf_page
Q6758488,Shimon Ben-Yehuda,רבי שמעון בן יהודה,1
Q6759157,Rav Sechora,רב סחורה,1
Q6760260,,יהודית )אשת רבי חייא(,1
Q6767135,,דמא בן נתינה,1
Q6768566,,איש טריא,1
Q6768858,,רבי יהושע דסכנין,1
Q6788009,Choma,חומה,1
Q6794320,,רב חלקיה בר טובי,1
Q679634,Rabbi Ilai I,ר' אלעאי )אבי ר' יהודה(,1
Q6807453,,רבי יוסי בן דורמסקית,1
Q6809997,,כרוספדאי,1
Q6816417,Menahem ben Judah,מנחם בן יהודה,1
Q6823408,,רב יהודה בר שילא,1
Q6825689,Chananya ben Akashya,רבי חנניה בן עקשיא,1
Q6839798,Yalta (Talmudic character,ילתא,1
Q6843785,,ר' אביתר,1
Q6854677,,רב אבהו,1
Q6854830,,רב המנונא ב( תלמידו דרב,1
Q6855076,,רב עוקבא בר חמא,1
Q6869629,Joseph,יוסף בן טוביה,1
Q6881095,Samuel bar Isaac,רב שמואל בר רב יצחק,1
Q6893258,Eleazar Bar Zadok,דמתניתן(,1
Q6894786,,רב דימי מנהרדעא,1
Q6910540,,רבי פרידא,1
Q6921148,,רב הונא בר חיננא או חנינא,1
Q6921509,Rav Hama Bar Guria,רב חמא בר גוריא,1
Q6922662,Huna bar Chiya,רב הונא בר חייא,1
Q6931352,Hananiah ben Akavia,רבי חנניא בן עקביא,1
Q6932585,Rav Ketina,רב קטינא,1
Q6936606,,אבדן,1
Q6945551,Zechariah ben Abkilus,ר' זכריה בן אבקולס,1
Q6946738,,רב ייבא סבא,1
Q6952348,,בני רבי חייא,1
Q6962128,,רב עמרם חסידא,1
Q6964369,,רב הונא בר יהודא,1
Q6974613,,רב אויא,1
Q6976406,,רב ביבי,1
Q7011184,,רבי יונתן בן אלעזר,1
Q7016001,Bebai ben Abaye,רב ביבי בר אביי,1
Q7018078,,אילפא ובירושלמי חילפיי,1
Q7026786,Anan,רב ענן,1
Q7031085,"Rachel, wife of Rabbi Akiva",רחל בת כלבא שבוע,1
